Id,SalePrice
1461,123974.05
1462,161723.94
1463,199692.81
1464,204608.84
1465,203077.0
1466,174722.0
1467,179382.9
1468,174137.56
1469,186068.11
1470,132526.38
1471,208416.95
1472,97012.97
1473,111929.445
1474,154612.11
1475,132561.3
1476,400888.75
1477,262098.56
1478,306089.47
1479,210233.56
1480,413449.4
1481,300550.12
1482,216186.33
1483,181920.05
1484,182291.22
1485,184675.19
1486,212457.23
1487,309445.2
1488,254597.52
1489,214390.03
1490,197312.44
1491,187594.64
1492,91338.875
1493,203854.48
1494,284327.62
1495,283657.72
1496,221301.5
1497,182408.17
1498,166093.22
1499,152670.27
1500,145777.9
1501,178796.55
1502,163035.44
1503,324592.03
1504,221042.73
1505,198634.31
1506,203485.69
1507,230924.02
1508,202197.48
1509,171110.75
1510,151874.33
1511,143533.22
1512,166169.55
1513,160199.22
1514,198486.05
1515,199909.52
1516,171827.28
1517,150793.4
1518,132575.47
1519,235991.19
1520,143824.56
1521,142040.53
1522,167051.72
1523,103644.78
1524,128066.52
1525,124575.266
1526,128862.305
1527,100540.67
1528,128848.78
1529,139884.5
1530,182917.88
1531,110767.87
1532,109903.484
1533,148047.88
1534,125280.02
1535,153535.73
1536,128067.59
1537,61359.637
1538,203853.72
1539,164825.58
1540,118223.16
1541,153516.47
1542,153019.16
1543,212951.8
1544,81432.234
1545,105889.0
1546,125166.88
1547,113468.15
1548,141411.22
1549,116543.875
1550,136012.83
1551,106590.68
1552,145973.69
1553,157365.7
1554,112203.375
1555,179407.02
1556,88208.28
1557,111841.39
1558,104876.46
1559,114114.04
1560,136535.52
1561,156694.3
1562,131057.57
1563,121660.516
1564,150769.62
1565,149531.16
1566,219360.66
1567,88209.305
1568,237058.22
1569,134864.73
1570,134477.67
1571,135471.7
1572,158586.47
1573,291713.78
1574,108359.12
1575,200653.2
1576,230294.17
1577,220724.83
1578,158726.53
1579,154228.84
1580,199515.52
1581,148714.75
1582,128018.0
1583,352486.06
1584,227927.45
1585,141558.27
1586,72073.91
1587,88436.68
1588,151797.62
1589,108971.47
1590,127320.29
1591,98532.15
1592,126838.42
1593,120152.516
1594,141309.56
1595,118518.65
1596,233669.61
1597,163214.0
1598,199932.69
1599,200166.2
1600,186683.8
1601,82849.73
1602,123918.164
1603,101092.34
1604,279533.25
1605,242618.02
1606,172157.6
1607,164894.86
1608,209922.62
1609,210845.84
1610,164836.06
1611,140702.05
1612,157478.25
1613,156929.05
1614,127804.73
1615,94954.93
1616,77706.8
1617,83462.48
1618,133998.0
1619,136231.92
1620,168976.86
1621,126471.63
1622,140661.0
1623,278561.3
1624,225033.1
1625,130086.76
1626,182947.55
1627,192542.5
1628,301543.4
1629,185718.22
1630,385408.25
1631,228905.64
1632,248683.89
1633,184992.19
1634,198507.53
1635,188187.23
1636,162035.45
1637,184561.84
1638,206083.48
1639,180823.45
1640,239991.81
1641,183089.31
1642,214358.22
1643,215442.38
1644,225958.33
1645,193571.16
1646,161067.66
1647,152667.08
1648,139809.42
1649,138340.27
1650,122701.39
1651,122350.58
1652,96450.45
1653,97416.47
1654,152126.56
1655,157911.83
1656,143637.38
1657,150762.34
1658,144081.36
1659,135248.17
1660,152057.7
1661,448147.84
1662,350953.3
1663,397099.62
1664,473208.78
1665,312264.72
1666,306850.16
1667,311946.3
1668,342766.28
1669,272567.03
1670,348341.2
1671,286621.9
1672,444390.0
1673,301849.84
1674,258018.6
1675,185350.77
1676,193448.88
1677,234529.3
1678,448622.0
1679,329101.56
1680,343769.56
1681,231320.16
1682,308538.56
1683,180477.0
1684,165512.31
1685,184334.83
1686,167408.0
1687,175414.86
1688,205633.08
1689,194162.28
1690,196323.22
1691,189502.23
1692,292111.1
1693,181626.28
1694,196578.05
1695,175014.53
1696,261296.92
1697,205284.66
1698,330006.6
1699,303919.56
1700,256143.05
1701,253332.5
1702,255536.7
